"category","productName","ProductDescription","Quantity","unit"
"Elsystem","Bränsletrycksensor","Dem./mon.","1.0","hour"
"Bromsar","Bromsbelägg bak (alla)","Dem./mon.","0.6","hour"
"Bromsar","Bromsbelägg fram (alla)","Dem./mon.","0.7","hour"
"Bromsar","Bromsljuskontakt","Dem./mon.","0.2","hour"
"Bromsar","Bromsok, bakre (båda)","Dem./mon.","1.3","hour"
"Bromsar","Bromsok, bakre (ett)","Dem./mon.","0.7","hour"
"Bromsar","Bromsok, främre (båda)","Dem./mon.","1.2","hour"
"Bromsar","Bromsok, främre (ett)","Dem./mon.","0.8","hour"
"Bromsar","Bromsservo - högerstyrd","Dem./mon.","1.4","hour"
"Bromsar","Bromsservo - vänsterstyrd","Dem./mon.","1.4","hour"
"Bromsar","Bromsskivor bak (båda)","Dem./mon.","0.7","hour"
"Bromsar","Bromsskivor bak (båda) - inklusive belägg","Dem./mon.","1.3","hour"
"Bromsar","Bromsskivor fram (båda)","Dem./mon.","0.6","hour"
"Bromsar","Bromsskivor fram (båda) - inklusive belägg","Dem./mon.","0.9","hour"
"Bromsar","Bromsslang, bakre (en)","Dem./mon.","0.9","hour"
"Bromsar","Bromsslang, främre (en)","Dem./mon.","0.9","hour"
"Motor","Bytesmotor, kompl.","Dem./mon.","13.8","hour"
"Motor","Bytesmotor, kompl. - AT","Dem./mon.","13.7","hour"
"Elsystem","Central styrenhet (CPU)","Dem./mon.","1.4","hour"
"Elsystem","Cigarettändare","Dem./mon.","0.2","hour"
"Motor","Cylinderlock - flyttning detaljer","Isär/ihop","10.4","hour"
"Motor","Cylinderlockspackning","Dem./mon.","7.9","hour"
"Avgasrening","Dieselpartikelfilter","Dem./mon.","2.0","hour"
"Belysning","Dimstrålkastare - en","Dem./mon.","0.4","hour"
"Kaross/interiör","Dörrspegel - en","Dem./mon.","0.9","hour"
"Drivlina","Drev, hastighetsmätare (drivande)","Dem./mon.","4.9","hour"
"Drivlina","Drev, hastighetsmätare (drivet)","Dem./mon.","4.9","hour"
"Drivlina","Drivaxel - höger","Dem./mon.","1.0","hour"
"Drivlina","Drivaxel - höger - AT","Dem./mon.","0.8","hour"
"Drivlina","Drivaxel - vänster","Dem./mon.","1.0","hour"
"Drivlina","Drivaxel - vänster - AT","Dem./mon.","0.8","hour"
"Drivlina","Drivaxelknut, inre - höger","Dem./mon.","1.2","hour"
"Drivlina","Drivaxelknut, inre - höger - AT","Dem./mon.","1.0","hour"
"Drivlina","Drivaxelknut, inre - vänster","Dem./mon.","1.2","hour"
"Drivlina","Drivaxelknut, inre - vänster - AT","Dem./mon.","1.0","hour"
"Drivlina","Drivaxelknut, yttre - höger","Dem./mon.","1.4","hour"
"Drivlina","Drivaxelknut, yttre - höger - AT","Dem./mon.","1.2","hour"
"Drivlina","Drivaxelknut, yttre - vänster","Dem./mon.","1.4","hour"
"Drivlina","Drivaxelknut, yttre - vänster - AT","Dem./mon.","1.2","hour"
"Drivlina","Drivaxelns inre tätning - höger","Dem./mon.","2.0","hour"
"Drivlina","Drivaxelns inre tätning - höger - AT","Dem./mon.","2.6","hour"
"Drivlina","Drivaxelns inre tätning - vänster","Dem./mon.","1.1","hour"
"Drivlina","Drivaxelns inre tätning - vänster - AT","Dem./mon.","1.1","hour"
"Kylsystem","Expansionstank","Dem./mon.","0.6","hour"
"Klimatanläggning","Expansionsventil - fram","Dem./mon.","2.2","hour"
"Fjädring","Fjäder","Dem./mon.","0.8","hour"
"Fjädring","Fjäder (båda)","Dem./mon.","1.6","hour"
"Fjädring","Fjäderben kompl.","Dem./mon.","0.8","hour"
"Fjädring","Fjäderben kompl. (båda)","Dem./mon.","1.5","hour"
"Elsystem","Fjädringsstyrdon","Dem./mon.","0.7","hour"
"Klimatanläggning","Förångare - fram","Dem./mon.","8.3","hour"
"Klimatanläggning","Förångare - fram - vänsterstyrd","Dem./mon.","8.3","hour"
"Kaross/interiör","Främre bilbälte","Dem./mon.","1.1","hour"
"Kaross/interiör","Främre stötfångare - komplett","Dem./mon.","0.8","hour"
"Kaross/interiör","Främre stötfångare - komplett","Dem./byt","2.2","hour"
"Styrning","Gaspedal - högerstyrd","Dem./mon.","0.2","hour"
"Styrning","Gaspedal - vänsterstyrd","Dem./mon.","0.2","hour"
"Belysning","Gasurladdningsstrålkastare - båda","Dem./mon.","1.6","hour"
"Belysning","Gasurladdningsstrålkastare - en","Dem./mon.","1.3","hour"
"Elsystem","Generator","Dem./mon.","2.2","hour"
"Service","Geometri, hela bilen","Kont.","0.3","hour"
"Elsystem","Givare, luftflöde/luftmassa","Dem./mon.","0.1","hour"
"Elsystem","Givare, motorvarvtal","Dem./mon.","0.3","hour"
"Belysning","Glödlampa för blinkers, fram","Dem./mon.","0.3","hour"
"Belysning","Glödlampa för gasurladdningsstrålkastare","Dem./mon.","0.3","hour"
"Elsystem","Glödningsrelä (ett)","Dem./mon.","1.1","hour"
"Motor","Glödstift (alla)","Dem./mon.","1.2","hour"
"Drivlina","Gummidamask, inre drivaxelknut - höger","Dem./mon.","1.6","hour"
"Drivlina","Gummidamask, inre drivaxelknut - höger - AT","Dem./mon.","1.4","hour"
"Drivlina","Gummidamask, inre drivaxelknut - vänster","Dem./mon.","1.6","hour"
"Drivlina","Gummidamask, inre drivaxelknut - vänster - AT","Dem./mon.","1.4","hour"
"Drivlina","Gummidamask, yttre drivaxelknut - höger","Dem./mon.","1.6","hour"
"Drivlina","Gummidamask, yttre drivaxelknut - höger - AT","Dem./mon.","1.4","hour"
"Drivlina","Gummidamask, yttre drivaxelknut - vänster","Dem./mon.","1.6","hour"
"Drivlina","Gummidamask, yttre drivaxelknut - vänster - AT","Dem./mon.","1.4","hour"
"Styrning","Gummidamasker, kuggstång","Dem./mon.","0.7","hour"
"Styrning","Gummidamasker, kuggstång (båda)","Dem./mon.","1.0","hour"
"Kaross/interiör","Hissmotor, bakruta","Dem./mon.","0.3","hour"
"Motor","Hissmotor, framruta","Dem./mon.","0.3","hour"
"Motor","Hjälpaggregatdrivrem","Dem./mon.","0.9","hour"
"Motor","Hjälpaggregatdrivremmens spännare","Dem./mon.","1.0","hour"
"Fjädring","Hjälpram","Dem./mon.","5.1","hour"
"Fjädring","Hjälpram/tvärbalk","Dem./mon.","3.9","hour"
"Service","Hjul","Dem./mon.","0.1","hour"
"Service","Hjul (alla)","Dem./mon.","0.3","hour"
"Service","Hjul (båda)","Dem./mon.","0.2","hour"
"Service","Hjulinställning bak (toe-in)","Kont./just.","0.6","hour"
"Service","Hjulinställning fram (toe-in)","Kont./just.","0.6","hour"
"Bromsar","Hjulsensor - bak (en)","Dem./mon.","0.2","hour"
"Bromsar","Hjulsensor - fram (en)","Dem./mon.","0.2","hour"
"Bränslesystem","Högtryckspump (common rail)","Dem./mon.","2.4","hour"
"Bromsar","Huvudcylinder - högerstyrd","Dem./mon.","1.2","hour"
"Bromsar","Huvudcylinder - vänsterstyrd","Dem./mon.","1.7","hour"
"Bromsar","Huvudcylinder, högerstyrd","Dem./mon.","1.0","hour"
"Bromsar","Huvudcylinder, vänsterstyrd","Dem./mon.","1.0","hour"
"Drivlina","Hydrauliskt manöversystem","Lufta","0.2","hour"
"Drivlina","Hydraulsystem","Lufta","0.6","hour"
"Motor","Inloppsgrenrör","Dem./mon.","1.1","hour"
"Belysning","Innerbelysning - bak","Dem./mon.","0.1","hour"
"Belysning","Innerbelysning - fram","Dem./mon.","0.2","hour"
"Bränslesystem","Insprutare (alla)","Dem./mon.","1.0","hour"
"Kaross/interiör","Instrumentpanel","Dem./mon.","0.7","hour"
"Elsystem","Kamaxellägessensor","Dem./mon.","0.1","hour"
"Motor","Kamaxelns främre tätning","Dem./mon.","2.3","hour"
"Motor","Kamaxlar (båda/alla)","Dem./mon.","4.3","hour"
"Motor","Kamrem","Dem./mon.","1.9","hour"
"Belysning","Kartläsarlampa","Dem./mon.","0.1","hour"
"Avgasrening","Katalysator","Dem./mon.","0.5","hour"
"Klimatanläggning","Komplett värmepaket","Dem./mon.","7.6","hour"
"Service","Kompressionsprov","Kont.","1.4","hour"
"Klimatanläggning","Kompressor","Dem./mon.","3.1","hour"
"Klimatanläggning","Kompressor för luftfjädring","Dem./mon.","0.6","hour"
"Klimatanläggning","Kondensor","Dem./mon.","2.8","hour"
"Kaross/interiör","Krockkudde - förare","Dem./byt","0.2","hour"
"Kaross/interiör","Krockkudde - passagerare","Dem./byt","0.5","hour"
"Klimatanläggning","Kupéfilter","Dem./mon.","0.2","hour"
"Kylsystem","Kylare","Dem./mon.","2.8","hour"
"Kylsystem","Kylfläkt","Dem./mon.","0.7","hour"
"Kylsystem","Kylvätska/frostskydd","Tappa/fyll","0.5","hour"
"Kylsystem","Laddluftkylare","Dem./mon.","1.2","hour"
"Elsystem","Lambdasensor - bakre","Dem./mon.","0.6","hour"
"Elsystem","Lambdasensor - fram","Dem./mon.","0.6","hour"
"Drivlina","Lamell, tryckplatta och lager","Dem./mon.","8.5","hour"
